run_id,lot_id,product,route_id,step_seq,step_name,tool_group,tool_id,arrive_time,start_time,end_time,queue_time,process_time,event_type
e7770a497f52,Lot_Product_4_127,Product_4,Route_Product_4,99,112_Wet_Etch,WE_FE_108,WE_FE_108#17,26820.0,26823.0,26851.64500968453,3.0,28.645009684527956,PROCESS
e7770a497f52,Lot_Product_4_159,Product_4,Route_Product_4,11,011_Wet_Etch,WE_FE_108,WE_FE_108#2,26820.0,26829.0,26854.652949615254,9.0,25.652949615256055,PROCESS
e7770a497f52,Lot_Product_4_85,Product_4,Route_Product_4,113,126_Implant,Implant_128,Implant_128#2,26820.0,26821.0,26854.762710445513,1.0,33.76271044551244,PROCESS
e7770a497f52,Lot_Product_3_67,Product_3,Route_Product_3,193,222_Implant,Implant_91,Implant_91#5,26820.0,26833.0,26857.357547603147,13.0,24.357547603145726,PROCESS
e7770a497f52,Lot_Product_4_159,Product_4,Route_Product_4,12,012_Wet_Etch,WE_FE_83,WE_FE_83#2,26854.652949615254,26855.652949615254,26882.67712770724,1.0,27.024178091984673,PROCESS
e7770a497f52,Lot_Product_3_67,Product_3,Route_Product_3,194,223_Wet_Etch,WE_FE_84,WE_FE_84#10,26857.357547603147,26858.357547603147,26883.94693416783,1.0,25.589386564686457,PROCESS
e7770a497f52,Lot_Product_4_159,Product_4,Route_Product_4,13,013_Wet_Etch,WE_FE_84,WE_FE_84#4,26882.67712770724,26883.67712770724,26910.768409100834,1.0,27.0912813935918,PROCESS
e7770a497f52,Lot_Product_3_162,Product_3,Route_Product_3,137,146_Litho_Met,Litho_REG_FE_64,LithoTrack_FE_115#21,26820.0,26820.0,26937.910988793934,0.0,117.91098879393336,PROCESS
e7770a497f52,Lot_Product_3_249,Product_3,Route_Product_3,46,051_Wet_Etch,WE_FE_108,DE_FE_86#123,26820.0,26820.0,26938.98969126044,0.0,118.9896912604429,PROCESS
e7770a497f52,Lot_Product_3_67,Product_3,Route_Product_3,195,224_Litho,LithoTrack_FE_115,LithoTrack_FE_115#15,26883.94693416783,26884.94693416783,26939.598509804473,1.0,54.651575636640246,PROCESS
