run_id,lot_id,product,route_id,step_seq,step_name,tool_group,tool_id,arrive_time,start_time,end_time,queue_time,process_time,event_type
249c949c2b64,Lot_Product_4_85,Product_4,Route_Product_4,113,126_Implant,Implant_128,Implant_128#2,26820.0,26821.0,26852.395348129794,1.0,31.39534812979329,PROCESS
249c949c2b64,Lot_Product_4_127,Product_4,Route_Product_4,99,112_Wet_Etch,WE_FE_108,WE_FE_108#17,26820.0,26823.0,26853.54492801396,3.0,30.544928013957268,PROCESS
249c949c2b64,Lot_Product_4_159,Product_4,Route_Product_4,11,011_Wet_Etch,WE_FE_108,WE_FE_108#2,26820.0,26829.0,26857.038888711693,9.0,28.03888871169262,PROCESS
249c949c2b64,Lot_Product_3_67,Product_3,Route_Product_3,193,222_Implant,Implant_91,Implant_91#5,26820.0,26833.0,26859.982011269003,13.0,26.9820112690019,PROCESS
249c949c2b64,Lot_Product_4_159,Product_4,Route_Product_4,12,012_Wet_Etch,WE_FE_83,WE_FE_83#2,26857.038888711693,26858.038888711693,26886.31985911351,1.0,28.28097040181926,PROCESS
249c949c2b64,Lot_Product_3_67,Product_3,Route_Product_3,194,223_Wet_Etch,WE_FE_84,WE_FE_84#10,26859.982011269003,26860.982011269003,26886.584910949663,1.0,25.602899680662745,PROCESS
249c949c2b64,Lot_Product_4_159,Product_4,Route_Product_4,13,013_Wet_Etch,WE_FE_84,WE_FE_84#4,26886.31985911351,26887.31985911351,26913.244690523134,1.0,25.92483140962038,PROCESS
249c949c2b64,Lot_Product_3_162,Product_3,Route_Product_3,137,146_Litho_Met,Litho_REG_FE_64,LithoTrack_FE_115#21,26820.0,26820.0,26937.910988793934,0.0,117.91098879393336,PROCESS
249c949c2b64,Lot_Product_3_249,Product_3,Route_Product_3,46,051_Wet_Etch,WE_FE_108,DE_FE_86#123,26820.0,26820.0,26938.98969126044,0.0,118.9896912604429,PROCESS
249c949c2b64,Lot_Product_3_67,Product_3,Route_Product_3,195,224_Litho,LithoTrack_FE_115,LithoTrack_FE_115#15,26886.584910949663,26887.584910949663,26939.890037006666,1.0,52.3051260570025,PROCESS
