run_id,lot_id,product,route_id,step_seq,tool_group,tool_id,event_type,event_time,detail_1,detail_2
48a57f5fd08d,Lot_Product_3_1,Product_3,Route_Product_3,,,,ARRIVAL,0.0,0.0,"{""sim_now_min"": 0.0, ""due_date_sim_min"": 74367.134, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_3_2,Product_3,Route_Product_3,,,,ARRIVAL,0.0,0.0,"{""sim_now_min"": 0.0, ""due_date_sim_min"": 48012.433333333334, ""remaining_to_due_min"": 48012.433333333334}"
48a57f5fd08d,Lot_Product_3_3,Product_3,Route_Product_3,,,,ARRIVAL,0.0,0.0,"{""sim_now_min"": 0.0, ""due_date_sim_min"": 48012.43666666667, ""remaining_to_due_min"": 48012.43666666667}"
48a57f5fd08d,Lot_Product_4_1,Product_4,Route_Product_4,,,,ARRIVAL,0.0,0.0,"{""sim_now_min"": 0.0, ""due_date_sim_min"": 42589.63333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_4_2,Product_4,Route_Product_4,,,,ARRIVAL,0.0,0.0,"{""sim_now_min"": 0.0, ""due_date_sim_min"": 28701.855333333333, ""remaining_to_due_min"": 28701.855333333333}"
48a57f5fd08d,Lot_Product_3_4,Product_3,Route_Product_3,,,,ARRIVAL,51.69,51.69,"{""sim_now_min"": 51.69, ""due_date_sim_min"": 74418.82400000001, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_3,Product_4,Route_Product_4,,,,ARRIVAL,51.69,51.69,"{""sim_now_min"": 51.69, ""due_date_sim_min"": 42641.323333333334, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_3_5,Product_3,Route_Product_3,,,,ARRIVAL,103.38,103.38,"{""sim_now_min"": 103.38, ""due_date_sim_min"": 74470.51400000001, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_4,Product_4,Route_Product_4,,,,ARRIVAL,103.38,103.38,"{""sim_now_min"": 103.38, ""due_date_sim_min"": 42693.01333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_3_1,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,BATCH_START,104.0,Route_Product_3:1:Diffusion_FE_120#1:t104.0000:b1,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_1,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,LOADING,104.0,1.0,
48a57f5fd08d,Lot_Product_3_2,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,BATCH_MEMBER_START,104.0,Route_Product_3:1:Diffusion_FE_120#1:t104.0000:b1,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_3,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,BATCH_MEMBER_START,104.0,Route_Product_3:1:Diffusion_FE_120#1:t104.0000:b1,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_5,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,BATCH_MEMBER_START,104.38,Route_Product_3:1:Diffusion_FE_120#1:t104.0000:b1,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_4,Product_3,Route_Product_3,1,Diffusion_FE_120,Diffusion_FE_120#1,BATCH_MEMBER_START,104.69,Route_Product_3:1:Diffusion_FE_120#1:t104.0000:b1,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_6,Product_3,Route_Product_3,,,,ARRIVAL,155.07,155.07,"{""sim_now_min"": 155.07, ""due_date_sim_min"": 74522.20400000001, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_5,Product_4,Route_Product_4,,,,ARRIVAL,155.07,155.07,"{""sim_now_min"": 155.07, ""due_date_sim_min"": 42744.70333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_4_1,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,BATCH_START,156.0,Route_Product_4:1:Diffusion_FE_120#10:t156.0000:b2,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_4_1,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,LOADING,156.0,1.0,
48a57f5fd08d,Lot_Product_4_2,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,BATCH_MEMBER_START,156.0,Route_Product_4:1:Diffusion_FE_120#10:t156.0000:b2,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_4_5,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,BATCH_MEMBER_START,156.07,Route_Product_4:1:Diffusion_FE_120#10:t156.0000:b2,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_4_4,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,BATCH_MEMBER_START,156.38,Route_Product_4:1:Diffusion_FE_120#10:t156.0000:b2,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_4_3,Product_4,Route_Product_4,1,Diffusion_FE_120,Diffusion_FE_120#10,BATCH_MEMBER_START,156.69,Route_Product_4:1:Diffusion_FE_120#10:t156.0000:b2,"{""batch_total_wafers"": 125, ""batch_lot_count"": 5}"
48a57f5fd08d,Lot_Product_3_7,Product_3,Route_Product_3,,,,ARRIVAL,206.76,206.76,"{""sim_now_min"": 206.76, ""due_date_sim_min"": 74573.894, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_6,Product_4,Route_Product_4,,,,ARRIVAL,206.76,206.76,"{""sim_now_min"": 206.76, ""due_date_sim_min"": 42796.39333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_3_8,Product_3,Route_Product_3,,,,ARRIVAL,258.45,258.45,"{""sim_now_min"": 258.45, ""due_date_sim_min"": 74625.584, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_7,Product_4,Route_Product_4,,,,ARRIVAL,258.45,258.45,"{""sim_now_min"": 258.45, ""due_date_sim_min"": 42848.08333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_3_9,Product_3,Route_Product_3,,,,ARRIVAL,310.14,310.14,"{""sim_now_min"": 310.14, ""due_date_sim_min"": 74677.274, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_8,Product_4,Route_Product_4,,,,ARRIVAL,310.14,310.14,"{""sim_now_min"": 310.14, ""due_date_sim_min"": 42899.77333333333, ""remaining_to_due_min"": 42589.63333333333}"
48a57f5fd08d,Lot_Product_3_10,Product_3,Route_Product_3,,,,ARRIVAL,361.83,361.83,"{""sim_now_min"": 361.83, ""due_date_sim_min"": 74728.964, ""remaining_to_due_min"": 74367.134}"
48a57f5fd08d,Lot_Product_4_9,Product_4,Route_Product_4,,,,ARRIVAL,361.83,361.83,"{""sim_now_min"": 361.83, ""due_date_sim_min"": 42951.46333333333, ""remaining_to_due_min"": 42589.63333333333}"
