run_id,snapshot_time,scope,kpi_name,value,window_minutes,numerator,denominator,meta
f19bf4a6a65e,26880.0,Dry_Etch,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26880.0,Dry_Etch,wip,95.0,,0.0,95.0,
f19bf4a6a65e,26880.0,Def_Met,q_time_min,60.0,,7800.0,130.0,
f19bf4a6a65e,26880.0,Def_Met,wip,135.0,,130.0,5.0,
f19bf4a6a65e,26880.0,Delay_32,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26880.0,Delay_32,wip,40.0,,0.0,40.0,
f19bf4a6a65e,26880.0,Dielectric,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26880.0,Dielectric,wip,10.0,,0.0,10.0,
f19bf4a6a65e,26880.0,Diffusion,q_time_min,60.0,,45960.0,766.0,
f19bf4a6a65e,26880.0,Diffusion,wip,794.0,,766.0,28.0,
f19bf4a6a65e,26880.0,Implant,q_time_min,60.0,,60.0,1.0,
f19bf4a6a65e,26880.0,Implant,wip,17.0,,1.0,16.0,
f19bf4a6a65e,26880.0,Litho,q_time_min,60.0,,120.0,2.0,
f19bf4a6a65e,26880.0,Litho,wip,68.0,,2.0,66.0,
f19bf4a6a65e,26880.0,Litho_Met,q_time_min,60.0,,180.0,3.0,
f19bf4a6a65e,26880.0,Litho_Met,wip,37.0,,3.0,34.0,
f19bf4a6a65e,26880.0,Planar,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26880.0,Planar,wip,9.0,,0.0,9.0,
f19bf4a6a65e,26880.0,TF,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26880.0,TF,wip,9.0,,0.0,9.0,
f19bf4a6a65e,26880.0,TF_Met,q_time_min,60.0,,240.0,4.0,
f19bf4a6a65e,26880.0,TF_Met,wip,7.0,,4.0,3.0,
f19bf4a6a65e,26880.0,Wet_Etch,q_time_min,60.0,,180.0,3.0,
f19bf4a6a65e,26880.0,Wet_Etch,wip,38.0,,3.0,35.0,
f19bf4a6a65e,26880.0,Def_Met,utilization,0.29411764705882354,60,300.0,1020.0,
f19bf4a6a65e,26880.0,Def_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Def_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Def_Met,oee_estimate,0.0,60,,,"{""availability"":0.294118,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Dry_Etch,utilization,0.21980240242371155,60,5367.574667187036,24420.0,
f19bf4a6a65e,26880.0,Dry_Etch,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Dry_Etch,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Dry_Etch,oee_estimate,0.0,60,,,"{""availability"":0.219802,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Delay_32,utilization,0.09866677363542582,60,2368.0025672502197,24000.0,
f19bf4a6a65e,26880.0,Delay_32,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Delay_32,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Delay_32,oee_estimate,0.0,60,,,"{""availability"":0.098667,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Litho_Met,utilization,0.5084745762711864,60,1800.0,3540.0,
f19bf4a6a65e,26880.0,Litho_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Litho_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Litho_Met,oee_estimate,0.0,60,,,"{""availability"":0.508475,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Planar,utilization,0.15789473684210525,60,360.0,2280.0,
f19bf4a6a65e,26880.0,Planar,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Planar,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Planar,oee_estimate,0.0,60,,,"{""availability"":0.157895,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Dielectric,utilization,0.11428571428571428,60,480.0,4200.0,
f19bf4a6a65e,26880.0,Dielectric,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Dielectric,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Dielectric,oee_estimate,0.0,60,,,"{""availability"":0.114286,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,TF_Met,utilization,0.75,60,180.0,240.0,
f19bf4a6a65e,26880.0,TF_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,TF_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,TF_Met,oee_estimate,0.0,60,,,"{""availability"":0.750000,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Implant,utilization,0.3607656020725442,60,779.2537004766955,2160.0,
f19bf4a6a65e,26880.0,Implant,performance,0.756213129274032,60,43.296,57.25370047669545,
f19bf4a6a65e,26880.0,Implant,quality,1.0,60,2.0,2.0,"{""finish"":2,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Implant,oee_estimate,0.27281568487770885,60,,,"{""availability"":0.360766,""performance"":0.756213,""performance_capped"":0.756213,""quality"":1.000000}"
f19bf4a6a65e,26880.0,Wet_Etch,utilization,0.2957849510359721,60,2023.169065086049,6840.0,
f19bf4a6a65e,26880.0,Wet_Etch,performance,0.6626871487595557,60,38.76,58.48913785721138,
f19bf4a6a65e,26880.0,Wet_Etch,quality,1.0,60,2.0,2.0,"{""finish"":2,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Wet_Etch,oee_estimate,0.19601288584801313,60,,,"{""availability"":0.295785,""performance"":0.662687,""performance_capped"":0.662687,""quality"":1.000000}"
f19bf4a6a65e,26880.0,TF,utilization,0.07,60,420.0,6000.0,
f19bf4a6a65e,26880.0,TF,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,TF,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,TF,oee_estimate,0.0,60,,,"{""availability"":0.070000,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Diffusion,utilization,0.3331140350877193,60,1519.0,4560.0,
f19bf4a6a65e,26880.0,Diffusion,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Diffusion,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Diffusion,oee_estimate,0.0,60,,,"{""availability"":0.333114,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26880.0,Litho,utilization,0.18691588785046728,60,2400.0,12840.0,
f19bf4a6a65e,26880.0,Litho,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26880.0,Litho,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26880.0,Litho,oee_estimate,0.0,60,,,"{""availability"":0.186916,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Dry_Etch,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26940.0,Dry_Etch,wip,95.0,,0.0,95.0,
f19bf4a6a65e,26940.0,Def_Met,q_time_min,120.0,,15600.0,130.0,
f19bf4a6a65e,26940.0,Def_Met,wip,135.0,,130.0,5.0,
f19bf4a6a65e,26940.0,Delay_32,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26940.0,Delay_32,wip,40.0,,0.0,40.0,
f19bf4a6a65e,26940.0,Dielectric,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26940.0,Dielectric,wip,10.0,,0.0,10.0,
f19bf4a6a65e,26940.0,Diffusion,q_time_min,120.0,,84720.0,706.0,
f19bf4a6a65e,26940.0,Diffusion,wip,733.0,,706.0,27.0,
f19bf4a6a65e,26940.0,Implant,q_time_min,120.0,,120.0,1.0,
f19bf4a6a65e,26940.0,Implant,wip,17.0,,1.0,16.0,
f19bf4a6a65e,26940.0,Litho,q_time_min,120.0,,240.0,2.0,
f19bf4a6a65e,26940.0,Litho,wip,69.0,,2.0,67.0,
f19bf4a6a65e,26940.0,Litho_Met,q_time_min,120.0,,360.0,3.0,
f19bf4a6a65e,26940.0,Litho_Met,wip,38.0,,3.0,35.0,
f19bf4a6a65e,26940.0,Planar,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26940.0,Planar,wip,9.0,,0.0,9.0,
f19bf4a6a65e,26940.0,TF,q_time_min,0.0,,0.0,0.0,
f19bf4a6a65e,26940.0,TF,wip,9.0,,0.0,9.0,
f19bf4a6a65e,26940.0,TF_Met,q_time_min,120.0,,480.0,4.0,
f19bf4a6a65e,26940.0,TF_Met,wip,7.0,,4.0,3.0,
f19bf4a6a65e,26940.0,Wet_Etch,q_time_min,120.0,,360.0,3.0,
f19bf4a6a65e,26940.0,Wet_Etch,wip,36.0,,3.0,33.0,
f19bf4a6a65e,26940.0,Def_Met,utilization,0.29411764705882354,60,300.0,1020.0,
f19bf4a6a65e,26940.0,Def_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Def_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Def_Met,oee_estimate,0.0,60,,,"{""availability"":0.294118,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Dry_Etch,utilization,0.2211743940403976,60,5401.07870246651,24420.0,
f19bf4a6a65e,26940.0,Dry_Etch,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Dry_Etch,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Dry_Etch,oee_estimate,0.0,60,,,"{""availability"":0.221174,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Delay_32,utilization,0.1,60,2400.0,24000.0,
f19bf4a6a65e,26940.0,Delay_32,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Delay_32,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Delay_32,oee_estimate,0.0,60,,,"{""availability"":0.100000,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Litho_Met,utilization,0.5087599742202139,60,1801.010308739557,3540.0,
f19bf4a6a65e,26940.0,Litho_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Litho_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Litho_Met,oee_estimate,0.0,60,,,"{""availability"":0.508760,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Planar,utilization,0.15789473684210525,60,360.0,2280.0,
f19bf4a6a65e,26940.0,Planar,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Planar,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Planar,oee_estimate,0.0,60,,,"{""availability"":0.157895,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Dielectric,utilization,0.11428571428571428,60,480.0,4200.0,
f19bf4a6a65e,26940.0,Dielectric,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Dielectric,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Dielectric,oee_estimate,0.0,60,,,"{""availability"":0.114286,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,TF_Met,utilization,0.75,60,180.0,240.0,
f19bf4a6a65e,26940.0,TF_Met,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,TF_Met,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,TF_Met,oee_estimate,0.0,60,,,"{""availability"":0.750000,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Implant,utilization,0.3333333333333333,60,720.0,2160.0,
f19bf4a6a65e,26940.0,Implant,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Implant,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Implant,oee_estimate,0.0,60,,,"{""availability"":0.333333,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Wet_Etch,utilization,0.2868209307819495,60,1961.8551665485345,6840.0,
f19bf4a6a65e,26940.0,Wet_Etch,performance,0.6627330330611128,60,54.036,81.535093777372,
f19bf4a6a65e,26940.0,Wet_Etch,quality,1.0,60,3.0,3.0,"{""finish"":3,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Wet_Etch,oee_estimate,0.19008570540253286,60,,,"{""availability"":0.286821,""performance"":0.662733,""performance_capped"":0.662733,""quality"":1.000000}"
f19bf4a6a65e,26940.0,TF,utilization,0.07,60,420.0,6000.0,
f19bf4a6a65e,26940.0,TF,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,TF,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,TF,oee_estimate,0.0,60,,,"{""availability"":0.070000,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Diffusion,utilization,0.34210526315789475,60,1560.0,4560.0,
f19bf4a6a65e,26940.0,Diffusion,performance,0.0,60,0.0,0.0,
f19bf4a6a65e,26940.0,Diffusion,quality,0.0,60,0.0,0.0,"{""finish"":0,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Diffusion,oee_estimate,0.0,60,,,"{""availability"":0.342105,""performance"":0.000000,""performance_capped"":0.000000,""quality"":0.000000}"
f19bf4a6a65e,26940.0,Litho,utilization,0.1928392384926323,60,2476.0558222453988,12840.0,
f19bf4a6a65e,26940.0,Litho,performance,0.902330542709794,60,46.5,51.53322180623033,
f19bf4a6a65e,26940.0,Litho,quality,1.0,60,1.0,1.0,"{""finish"":1,""rework"":0,""scrap"":0}"
f19bf4a6a65e,26940.0,Litho,oee_estimate,0.1740047347248003,60,,,"{""availability"":0.192839,""performance"":0.902331,""performance_capped"":0.902331,""quality"":1.000000}"
