scenario_id,snapshot_time,lot_id,route_id,current_step_seq,status,tool_group,tool_id,queue_position,due_date_sim,priority,rem_steps,processing_remaining_min,wafers_per_lot,product,is_super_hot
FWD_CSV_f5178_T620,620.0,Engineering_HotLot_3_1,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,44209.922,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_HotLot_3_2,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,44209.922,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_HotLot_3_3,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,44209.922,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_HotLot_3_4,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,44209.922,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_1,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_10,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_11,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_12,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_13,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
FWD_CSV_f5178_T620,620.0,Engineering_Lot_3_14,Route_Product_E3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,69366.994,20,583,,1,Product_3,false
