scenario_id,tool_id,position,lot_id,route_id,step_seq,due_date_sim,priority
FWD_CSV_f5178_T620,Diffusion_FE_120#1,1,Lot_Product_4_2,Route_Product_4,1,28701.855333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,2,Lot_Product_4_3,Route_Product_4,1,42641.323333333334,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,3,Lot_Product_4_4,Route_Product_4,1,42693.01333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,4,Lot_Product_4_5,Route_Product_4,1,42744.70333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,5,Lot_Product_4_7,Route_Product_4,1,42848.08333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,6,Lot_Product_4_8,Route_Product_4,1,42899.77333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,7,Lot_Product_4_9,Route_Product_4,1,42951.46333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,8,Lot_Product_4_10,Route_Product_4,1,43003.15333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,9,Lot_Product_4_11,Route_Product_4,1,43054.84333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,10,Lot_Product_4_12,Route_Product_4,1,43106.53333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,11,Lot_Product_4_13,Route_Product_4,1,43158.22333333333,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,12,Engineering_HotLot_3_1,Route_Product_E3,1,44209.922,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,13,Engineering_HotLot_3_2,Route_Product_E3,1,44209.922,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,14,Engineering_HotLot_3_3,Route_Product_E3,1,44209.922,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,15,Engineering_HotLot_3_4,Route_Product_E3,1,44209.922,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,16,Engineering_Lot_3_1,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,17,Engineering_Lot_3_10,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,18,Engineering_Lot_3_11,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,19,Engineering_Lot_3_12,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,20,Engineering_Lot_3_13,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,21,Engineering_Lot_3_14,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,22,Engineering_Lot_3_15,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,23,Engineering_Lot_3_16,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,24,Engineering_Lot_3_2,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,25,Engineering_Lot_3_3,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,26,Engineering_Lot_3_4,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,27,Engineering_Lot_3_5,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,28,Engineering_Lot_3_6,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,29,Engineering_Lot_3_7,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,30,Engineering_Lot_3_8,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,31,Engineering_Lot_3_9,Route_Product_E3,1,69366.994,20
FWD_CSV_f5178_T620,Diffusion_FE_120#1,32,Lot_Product_3_7,Route_Product_3,1,74573.894,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,33,Lot_Product_3_8,Route_Product_3,1,74625.584,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,34,Lot_Product_3_9,Route_Product_3,1,74677.274,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,35,Lot_Product_3_10,Route_Product_3,1,74728.964,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,36,Lot_Product_3_11,Route_Product_3,1,74780.65400000001,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,37,Lot_Product_3_12,Route_Product_3,1,74832.34400000001,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,38,Lot_Product_3_13,Route_Product_3,1,74884.034,30
FWD_CSV_f5178_T620,Diffusion_FE_120#1,39,Lot_Product_3_14,Route_Product_3,1,74935.724,30
